Membership No  Date Joined  Active  
    88020      2015-7-11    no    
    13788      2020-12-22   no    
    92062      2017-11-11   no    
    95852      2017-1-24    no    
    87565      2020-7-6     no    
    53870      2019-8-18    no    
    92837      2018-8-17    no    
    33431      2015-1-8     no    
    90597      2018-3-1     no    
    51391      2020-1-5     no    
    28989      2020-10-22   no    
    21187      2018-11-14   no    
    21749      2020-3-19    no    
    20100      2018-10-22   no    
