Membership No  Date Joined  Active  
    32577      2017-7-11    no    
    15034      2019-6-16    no    
    73670      2015-8-10    no    
    79689      2020-7-20    no    
    49356      2015-5-6     no    
    44319      2017-5-21    no    
    24832      2020-1-7     no    
    91812      2015-7-1     no    
    76750      2018-11-7    no    
    49708      2017-7-24    no    
    34244      2015-8-1     no    
    87756      2018-12-17   no    
    73958      2018-1-10    no    
    55840      2017-7-3     no    
